Date,Open,High,Low,Close,Adj Close,Volume
8/1/2014,null,null,null,null,null,null
9/1/2014,121.970001,122.660004,115.849998,116.209999,116.209999,140533100
10/1/2014,116.610001,120.5,111.660004,112.660004,112.660004,155183900
11/1/2014,112.389999,115.959999,109.669998,112.110001,112.110001,147594200
12/1/2014,113.800003,118.989998,112.410004,113.580002,113.580002,153722200
1/1/2015,112.489998,125.580002,112.32,123.449997,123.449997,198034100
2/1/2015,121.839996,123.160004,114.290001,116.160004,116.160004,125686200
3/1/2015,116.5,116.639999,109.769997,113.660004,113.660004,133483100
4/1/2015,114.559998,117.470001,112.769997,113.470001,113.470001,106636600
5/1/2015,112.419998,117.879997,112.279999,114.099998,114.099998,99097100
6/1/2015,115.019997,115.610001,111.57,112.370003,112.370003,110267600
7/1/2015,112.120003,112.580002,103.43,104.93,104.93,157498100
8/1/2015,104.589996,112.120003,103.779999,107.730003,107.730003,170084800
9/1/2015,109.629997,110.82,105.269997,106.860001,106.860001,113791100
10/1/2015,106.980003,113.989998,106.629997,109.300003,109.300003,131532500
11/1/2015,108.639999,108.839996,100.989998,101.919998,101.919998,106869000
12/1/2015,102.300003,104.209999,100.230003,101.459999,101.459999,124503700
1/1/2016,103.129997,107.93,102.489998,106.949997,106.949997,139712800
2/1/2016,107.540001,120.839996,107.349998,118.639999,118.639999,314968700
3/1/2016,118.739998,122.370003,116.160004,117.639999,117.639999,259670200
4/1/2016,116.080002,123.93,115,123.650002,123.650002,222989100
5/1/2016,123.779999,123.959999,115.290001,116.059998,116.059998,201083100
6/1/2016,115.970001,127.050003,115.199997,126.470001,126.470001,307601400
7/1/2016,127.660004,131.149994,125.110001,128.979996,128.979996,259546000
8/1/2016,128.570007,130.550003,124.639999,124.779999,124.779999,215783900
9/1/2016,124.669998,129.080002,124.550003,125.639999,125.639999,213473800
10/1/2016,125.32,125.459999,118.419998,121.940002,121.940002,181298100
11/1/2016,122.800003,124.760002,111.5,111.75,111.75,247890600
12/1/2016,111.110001,112.5,107,109.610001,109.610001,159862800
1/1/2017,109.620003,116.169998,109.370003,115.550003,115.550003,150545100
2/1/2017,114.660004,120.400002,114.139999,119.230003,119.230003,150265000
3/1/2017,117.980003,120.080002,114.019997,118.720001,118.720001,172556100
4/1/2017,118.690002,123.07,118.400002,120.769997,120.769997,176157400
5/1/2017,120.209999,121.230003,115.559998,120.620003,120.620003,160072400
6/1/2017,120.169998,123.309998,117.910004,118.019997,118.019997,160832400
7/1/2017,116.540001,120.860001,114.800003,120.75,120.75,128516200
8/1/2017,120.440002,125.870003,118.970001,125.82,125.82,179580900
9/1/2017,126.010002,128.320007,121.550003,121.580002,121.580002,174234300
10/1/2017,121.169998,123.970001,119.779999,120.669998,120.669998,137821900
11/1/2017,120.980003,123.330002,120.18,121.099998,121.099998,121999200
12/1/2017,120.940002,124.089996,117.400002,123.650002,123.650002,145856700
1/1/2018,124.660004,129.509995,124.099998,127.650002,127.650002,184868100
2/1/2018,127.18,128.699997,124.389999,125,125,176366400
3/1/2018,124.150002,128.580002,123.580002,125.790001,125.790001,143350600
4/1/2018,126.650002,129.470001,124.190002,124.589996,124.589996,148538100
5/1/2018,123.900002,125.589996,121.970001,123.099998,123.099998,136939000
6/1/2018,122.580002,123.860001,118.010002,118.650002,118.650002,133529400
7/1/2018,118.18,119.730003,115.120003,115.989998,115.989998,130595500
8/1/2018,115.629997,115.699997,111.059998,113.510002,113.510002,148356600
9/1/2018,112.75,114.779999,111.849998,112.760002,112.760002,97355900
10/1/2018,112.400002,117.650002,111.900002,115.150002,115.150002,228476300
11/1/2018,116.330002,117.07,113.419998,115.540001,115.540001,186729200
12/1/2018,116.599998,121.260002,116.300003,121.25,121.25,178898300
1/1/2019,121.349998,125.230003,120.690002,124.75,124.75,195173300
2/1/2019,124.889999,127.209999,123.190002,123.989998,123.989998,141982900
3/1/2019,123.480003,125.110001,121.029999,122.010002,122.010002,168879600
4/1/2019,122.400002,123.769997,119.550003,121.199997,121.199997,124262100
5/1/2019,121.029999,123.400002,119.540001,123.330002,123.330002,140574200
6/1/2019,124.089996,135.550003,123.900002,133.199997,133.199997,205599200
7/1/2019,131.559998,136.630005,130.550003,133.210007,133.210007,226437500
8/1/2019,132.419998,139.029999,132.309998,138.910004,138.910004,68440400
